Depth (m),A (kPa),B (kPa),C (kPa)
16.3,576.1,761.1,424.2
16.35,568.3,748.3,417.6
16.4,559.5,735.6,410.3
16.45,550.7,722.8,403.1
16.5,541.6,710.0,395.8
16.55,532.5,697.3,388.6
16.6,523.5,684.5,381.4
16.65,531.1,696.8,388.6
16.7,539.0,715.5,397.2
16.75,548.2,734.1,405.7
16.8,557.8,752.7,414.3
16.85,562.3,755.9,422.8
16.9,565.9,755.3,432.3
16.95,570.7,754.7,441.9
17.0,575.3,754.1,451.5
17.05,579.9,756.8,457.3
17.1,582.9,764.5,460.6
17.15,584.5,772.2,463.9
17.2,587.6,779.8,467.2
17.25,590.7,779.9,470.5
17.3,593.5,777.9,473.7
17.35,596.4,776.0,477.0
17.4,598.7,774.1,478.2
17.45,600.8,775.3,478.2
17.5,601.8,776.5,478.2
17.55,602.9,778.6,478.2
17.6,604.1,782.0,478.2
17.65,605.3,785.4,478.2
17.7,606.4,788.8,478.2
17.75,608.0,792.3,478.3
17.8,610.1,795.7,478.3
17.85,612.3,799.1,478.8
17.9,613.9,802.5,479.4
17.95,615.1,805.9,480.0
18.0,616.3,809.3,480.6
18.05,617.2,807.2,481.3
18.1,616.4,801.6,481.9
18.15,615.7,795.9,482.5
18.2,614.9,790.3,483.1
18.25,614.2,787.4,483.8
18.3,615.5,788.7,484.9
18.35,616.7,789.9,486.3
18.4,618.0,791.2,487.8
18.45,619.7,792.5,489.3
18.5,621.6,793.8,490.8
18.55,623.4,795.1,492.2
18.6,625.7,797.3,493.7
18.65,628.3,803.4,495.2
18.7,630.9,809.4,493.9
18.75,633.3,815.5,492.0
18.8,635.6,821.5,490.1
18.85,637.9,827.6,488.2
18.9,637.1,828.0,481.9
18.95,634.3,828.4,467.9
19.0,631.4,828.8,454.6
19.05,628.0,827.7,442.5
19.1,621.8,820.1,430.4
19.15,615.4,812.6,418.3
19.2,608.2,805.1,406.2
19.25,601.0,797.6,394.2
19.3,598.8,790.0,397.6
19.35,599.9,782.1,409.0
