GROUP,TEST
HEADING,TEST_ID,SITE_ID,TEST_NAME,TEST_TYPE,TEST_LAT,TEST_LON,TEST_ELEV,TEST_REM
DATA,965,186,CPTU-1,SCPG,37.824806,-122.374042,,"From Pass et al. (1994) - Digitized"

GROUP,SCPG
HEADING,SCPG_ID,TEST_ID,SCPG_CSA,SCPG_RATE,SCPG_CREW,SCPG_METH,SCPG_STAR,SCPG_ENDD,SCPG_PWP,SCGP_REM
DATA,276,965,10,2,Pass,"ASTM D3550-84",,,,

GROUP,SCPT
HEADING,SCPT_ID,SCPG_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP
DATA,81146,276,21.2,1.36706,0.0390115,0.950483
DATA,81147,276,21.3,1.36706,0.0390115,0.950483
DATA,81148,276,21.4,1.36706,0.0390115,0.831995
DATA,81149,276,21.5,1.36706,0.0390115,0.831995
DATA,81150,276,21.6,1.50162,0.0408273,0.598378
DATA,81151,276,21.7,1.50162,0.0593705,0.61534
DATA,81152,276,21.8,1.50162,0.0593705,0.61534
DATA,81153,276,21.9,1.50162,0.0593705,0.77449
DATA,81154,276,22,1.50162,0.0513691,0.964108
DATA,81155,276,22.1,1.50162,0.0568216,0.994598
DATA,81156,276,22.2,1.54492,0.0539098,1.01492
DATA,81157,276,22.3,1.54492,0.0539098,1.05895
DATA,81158,276,22.4,1.54492,0.0539098,0.977696
DATA,81159,276,22.5,1.54492,0.0615408,0.967551
DATA,81160,276,22.6,1.54492,0.0615408,1.0319
DATA,81161,276,22.7,1.54492,0.0615408,1.06577
DATA,81162,276,22.8,1.54492,0.0615408,1.09287
DATA,81163,276,22.9,1.54492,0.0546276,1.05903
DATA,81164,276,23,1.54492,0.0546276,1.07935
DATA,81165,276,23.1,1.54492,0.0564448,1.07598
DATA,81166,276,23.2,1.54492,0.0564448,1.09969
DATA,81167,276,23.3,1.54492,0.0564448,0.815282
DATA,81168,276,23.4,1.72446,0.0491707,0.815282
DATA,81169,276,23.5,1.72446,0.0571687,1.04894
DATA,81170,276,23.6,1.72446,0.0597118,1.04894
DATA,81171,276,23.7,1.72446,0.0597118,1.0862
DATA,81172,276,23.8,1.72446,0.0546195,1.09637
DATA,81173,276,23.9,1.72446,0.0567993,1.13025
DATA,81174,276,24,1.72446,0.0567993,1.13025
DATA,81175,276,24.1,1.63279,0.0567959,1.11334
DATA,81176,276,24.2,1.63279,0.060068,0.913592
DATA,81177,276,24.3,1.63279,0.060068,1.05921
DATA,81178,276,24.4,1.63279,0.0640656,1.05921
DATA,81179,276,24.5,1.63279,0.0640656,1.11001
DATA,81180,276,24.6,1.63279,0.0640626,1.11001
DATA,81181,276,24.7,1.63279,0.0640626,1.11001
DATA,81182,276,24.8,1.63279,0.0640626,1.12696
DATA,81183,276,24.9,1.63279,0.0673285,1.15068
DATA,81184,276,25,1.72199,0.0673285,1.15068
