Depth (m),P0 (kPa),P1 (kPa),P2 (kPa)
12.4,396.0468,501.4370909,272.2256448
12.45,387.1708,497.7452727,264.8159923
12.5,380.1443333,494.0534545,257.4063398
12.55,380.516,493.2244444,249.9966873
12.6,380.8876667,503.8466667,244.3949637
12.65,385.6308,515.1575556,255.0646012
12.7,391.4668,527.5014444,265.7342387
12.75,397.3028,532.4422857,276.4038761
12.8,403.1388,532.4477619,287.0735136
12.85,410.3688571,532.4532381,297.7431511
12.9,417.9474286,532.4587143,308.4127885
12.95,425.526,528.8712174,312.9063054
13,421.3044615,519.8942609,310.7090251
13.05,417.0829231,510.9173043,308.5117448
13.1,414.4781667,501.9403478,306.3144644
13.15,414.2985833,492.9633913,304.1171841
13.2,414.119,499.4364211,307.5842091
13.25,421.943,509.7719474,313.4787935
13.3,429.767,520.1074737,319.3733778
13.35,435.857,530.443,325.2679622
13.4,441.947,536.6894286,331.1625466
13.45,448.037,542.9358571,337.057131
13.5,454.127,549.1822857,342.9517154
13.55,460.217,555.4287143,348.8462997
13.6,466.2402632,561.6751429,354.0439147
13.65,472.2468421,567.9215714,359.0214341
13.7,478.2534211,574.168,363.9989535
13.75,484.26,580.4144286,368.9764729
13.8,485.5127273,583.9021818,373.9539922
13.85,486.7654545,585.5508182,378.57
13.9,489.2406667,588.6598,382.945
13.95,492.0215,593.9593,387.32
14,496.0115,601.27325,391.695
14.05,501.81525,611.608875,396.07
14.1,507.619,625.56,400.445
14.15,507.6754286,627.7785714,388.2586829
14.2,498.5743333,625.0068182,372.3480213
14.25,483.3682222,618.9081818,354.1581277
14.3,466.647,613.05625,338.4855742
14.35,449.547,607.574375,328.1623684
14.4,447.4249167,606.7405,317.8391627
14.45,445.3028333,607.068625,307.5159569
14.5,444.540625,607.39675,300.4703879
14.55,444.685,610.9122727,313.5588727
14.6,459.44,616.5527273,326.6473576
14.65,477.9885,622.8832,339.7358424
14.7,498.1121111,630.2487,365.0072258
14.75,516.8048889,636.833,385.9148654
14.8,529.9208,642.2455,402.3663077
14.85,539.3188,647.658,413.931
14.9,546.6403846,652.9481429,420.9848462
14.95,552.5776923,657.7488571,428.0386923
15,558.515,666.0575,435.0925385
15.05,562.8446429,675.3843846,437.3859714
15.1,567.1742857,685.2763077,439.0302571
15.15,571.460375,695.1682308,440.6745429
15.2,575.57225,698.054,442.3188286
15.25,579.684125,696.269,443.9631143
15.3,583.796,694.484,445.6074
15.35,588.6276667,693.8781364,447.2516857
15.4,588.541,694.0583636,448.8959714
15.45,588.4543333,694.2385909,450.0262351
15.5,584.7618571,694.4188182,450.5996414
15.55,580.1679286,695.5816087,451.1730478
15.6,575.574,700.6746522,451.7464542
15.65,580.7994167,705.7676957,452.3198606
15.7,586.0248333,710.8607391,452.8932669
15.75,592.6016667,715.9537826,453.4666733
15.8,600.0794444,713.9135909,454.0400797
15.85,597.5332222,707.1179091,454.6134861
15.9,592.481,700.3222273,455.1868924
15.95,587.5335,693.5265455,454.5433175
16,582.586,689.66415,452.3508571
16.05,580.9793,697.5349,450.1583968
16.1,581.5998,705.40565,447.9659365
16.15,584.6369091,713.2764,445.7734762
16.2,589.2850909,718.423,443.5810159
16.25,589.0711667,712.673,441.3885556
16.3,581.5640833,697.080375,439.1960952
16.35,574.057,684.31725,432.5631879
16.4,565.4265,671.554125,425.3247651
16.45,556.796,658.791,418.0863423
16.5,547.921,646.027875,410.8479195
16.55,539.046,633.26475,403.6094966
16.6,530.171,620.501625,396.3710738
16.65,537.5432727,632.8394,403.6469091
16.7,544.9155455,651.4524,412.1848538
16.75,553.6768,670.0654,420.7227984
16.8,562.7853,688.6784,429.2607431
16.85,567.3665,691.917,437.7986877
16.9,571.1478571,691.312,447.2708405
16.95,576.2571429,690.707,456.8950736
17,581.0779091,690.102,466.5193067
17.05,585.8265455,692.8105556,472.3382241
17.1,588.5206667,700.4894444,475.6202644
17.15,589.8451111,708.1683333,478.9023046
17.2,592.7104444,715.8472222,482.1843448
17.25,595.961,715.8526842,485.4663851
17.3,599.075,713.9397895,488.7484253
17.35,602.189,712.0268947,492.0304655
17.4,604.6478889,710.114,493.2155636
17.45,606.8229231,711.3001538,493.2211318
17.5,607.8625385,712.4863077,493.2267
17.55,608.9021538,714.567,493.2322682
17.6,609.94575,717.9895,493.2378364
17.65,610.992,721.412,493.2434045
17.7,612.03825,724.8345,493.2489727
17.75,613.5007143,728.257,493.2545409
17.8,615.5875,731.6795,493.2601091
17.85,617.6742857,735.102,493.7827797
17.9,619.1693333,738.4925882,494.403946
17.95,620.2698889,741.8831765,495.0251123
18,621.3704444,745.2737647,495.6462786
18.05,622.471,743.2352857,496.2674449
18.1,621.9325,737.5774286,496.8886112
18.15,621.394,731.9195714,497.5097775
18.2,620.8555,726.2617143,498.1309438
18.25,620.317,723.3807222,498.7521102
18.3,621.5573125,724.6650278,499.8663008
18.35,622.797625,725.9493333,501.337509
18.4,624.0379375,727.2336389,502.8087172
18.45,625.80475,728.5179444,504.2799254
18.5,627.7031875,729.80225,505.7511337
18.55,629.601625,731.0865556,507.2223419
18.6,631.8172,733.3251154,508.6935501
18.65,634.2442,739.3806923,510.1647584
18.7,636.6712,745.4362692,508.9226036
18.75,638.9242,751.4918462,507.0021081
18.8,641.0612,757.5474231,505.0816126
18.85,643.1982,763.603,503.1611171
18.9,642.2695882,764.0124737,496.9034706
18.95,639.2972353,764.4219474,482.9353333
19,636.3248824,764.8314211,469.5707668
19.05,632.7225,763.6574583,457.488788
19.1,626.6,756.14975,445.4068092
19.15,620.2685385,748.6420417,433.3248304
19.2,613.1012308,741.1343333,421.2428516
19.25,605.9339231,733.626625,409.1608728
19.3,604.0105882,725.9645882,412.5709834
19.35,605.5832353,718.0710588,423.9618674
19.4,607.1558824,710.1775294,435.3527514
19.45,608.2102308,702.284,445.7631606
19.5,607.1913846,714.5061053,432.6421762
19.55,606.1725385,726.7282105,419.5211917
19.6,603.63675,738.9503158,406.4002073
19.65,600.0896667,746.6280952,397.4403118
19.7,597.2911429,736.1285714,407.4364882
19.75,597.4868571,725.6290476,417.4326647
19.8,597.6825714,715.1295238,427.4288412
19.85,599.2944,704.63,438.3920654
19.9,605.2682222,719.78,449.6280467
19.95,614.5987778,734.93,460.864028
20,622.5762308,750.08,472.1000093
20.05,629.6516154,763.48,462.1371011
20.1,636.727,769.88,430.9753034
20.15,608.0895,776.28,392.2180976
20.2,583.3918,782.68,327.9994889
20.25,559.6938,789.08,273.7752821
20.3,547.09725,877.9666667,243.0970769
20.35,548.767875,939.4855,229.1811582
20.4,558.2414286,994.2145455,218.9447658
20.45,565.5865,1049.152273,208.7083734
20.5,566.81275,1104.09,227.2255211
20.55,568.039,960.225,261.1427826
20.6,564.0486154,766.099,296.2054902
20.65,560.0582308,663.67,328.5334483
20.7,563.8826667,693.9246154,355.1600684
20.75,580.5306,724.1792308,364.1677
20.8,600.8376667,753.6735556,373.1753316
20.85,618.161,782.0274444,382.1829632
20.9,638.1013636,789.890575,391.2563656
20.95,643.7986364,784.0932,400.4574409
21,647.1251176,778.295825,409.6585161
21.05,646.8954118,772.49845,418.8595914
21.1,646.6657059,766.701075,425.9859524
21.15,646.436,760.9037,431.8407143
21.2,643.6824286,755.106325,437.6954762
21.25,640.9288571,749.30895,443.5502381
21.3,640.74,756.0572,449.405
21.35,650.81,771.1692,461.0906886
21.4,663.782,786.2812,476.9987725
21.45,677.9681111,801.3932,492.9068563
21.5,687.4458889,816.5052,504.5952752
21.55,696.83575,831.6172,502.921422
21.6,706.167,846.7292,501.2475688
21.65,711.0912308,861.8412,499.5737156
21.7,716.0154615,867.5231364,497.8998624
21.75,720.6848571,866.9183636,514.1887534
21.8,724.972,866.3135909,531.4730625
21.85,729.2591429,865.7088182,546.7494018
21.9,732.2333571,865.8229444,561.5407574
21.95,734.3322857,868.8126667,574.1227426
22,736.4312143,871.8023889,586.7047279
22.05,738.0465294,874.7921111,596.4482978
22.1,739.5409412,877.7818333,602.8598146
22.15,741.0353529,880.7715556,609.2713315
22.2,743.333,883.7612778,615.6828483
22.25,746.8355,886.751,617.6839824
22.3,750.338,886.8163125,619.1950739
22.35,753.2508235,886.881625,620.7061655
22.4,753.8049412,886.9469375,622.217257
22.45,754.3590588,887.01225,623.7283486
22.5,754.9131765,887.0775625,624.4354925
22.55,755.8808,887.142875,622.2922764
22.6,756.9518,887.1723214,620.1490603
22.65,758.0228,887.1778571,618.0058442
22.7,759.1391053,887.1833929,616.2853696
22.75,760.2667368,887.1889286,615.9035761
22.8,761.3943684,887.1944643,615.5217826
22.85,762.522,887.2,615.1399891
22.9,759.0066429,885.287381,614.7581957
22.95,755.4912857,883.3747619,614.3764022
23,751.792,881.4621429,613.9946087
23.05,747.357,879.5495238,613.6128152
23.1,742.922,877.1696087,614.8625241
23.15,741.3663684,874.6728696,616.3347106
23.2,740.5305789,872.1761304,617.8068971
23.25,739.6947895,869.6793913,619.2790836
23.3,738.859,867.64475,620.7512701
23.35,738.8643125,867.4585,622.2234566
23.4,738.869625,867.27225,621.4300302
23.45,738.8749375,867.086,619.4694698
23.5,741.504,867.9612051,617.5089095
23.55,744.789,873.0822308,615.5483491
23.6,748.4223846,878.2032564,613.6271108
23.65,753.4493077,883.3242821,613.6326514
23.7,758.4762308,888.4453077,613.6381919
23.75,760.2549412,893.5663333,613.6437324
23.8,759.8681765,898.687359,613.649273
23.85,759.4814118,903.8083846,613.6548135
23.9,758.9600667,906.883,613.6603541
23.95,757.9004,906.888,613.6658946
24,756.8407333,899.4605,613.9825845
24.05,755.9940526,892.033,614.4899789
24.1,755.9993158,884.6055,614.9973732
24.15,756.0045789,889.3327273,615.5047676
24.2,756.0098421,897.0986364,616.012162
24.25,756.2435714,904.8645455,616.5195563
24.3,756.82,912.6304545,604.484973
24.35,757.3964286,940.4648,591.6498378
24.4,767.2814444,1004.131667,560.9813423
24.45,774.2436667,1071.149636,523.377651
24.5,779.7795455,1117.192818,485.7739597
24.55,783.1759091,1163.236,495.7017561
24.6,785.7819474,1103.776833,523.0212157
24.65,785.2266842,1038.177667,556.5912453
24.7,784.6714211,983.703,590.1450476
24.75,784.1161579,952.7088,607.1974286
24.8,783.4717059,944.1117778,624.2498095
24.85,782.6934706,940.174,627.8014245
24.9,781.9152353,936.2362222,630.1790598
24.95,781.137,933.8331111,632.5566952
25,781.1425556,937.5686667,634.9343305
25.05,781.1481111,941.3042222,637.3119658
25.1,781.1536667,945.0397778,639.6896011
25.15,782.8338571,947.17045,642.0672365
25.2,787.026,948.2312,644.1425
25.25,791.2181429,949.29195,646.1841667
